CaseID,weight,XSPANISH,INTERNET,Q1,Q2_A,Q2_B,Q2_C,Q2_D,Q2_E,Q2_Refused,Q3,Q4,Q5_A,Q5_B,Q5_C,Q5_D,Q5_E,Q5_F,Q5_Refused,Q7,Q9,Q10,Q11,Q12,Q13,Q14,INTMOB,INTFREQ,SMART1,SNSINT2,PPAGE,PPEDUCAT,PPETHM,PPGENDER,PPINCIMP,PPMSACAT,PPSTATEN,PPWORK
384,.725,1,1,6,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,6,3,2,3,1,2,6,1,2,1,2,61,4,1,2,15,1,59,1
385,.738,1,1,2,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,2,3,2,2,3,2,5,1,1,1,1,46,3,1,2,5,1,41,1
386,1.9159,1,4,6,0,1,0,0,0,0,3,3,0,1,0,1,0,0,0,5,1,3,3,5,3,4,2,2,3,2,35,1,3,1,11,1,93,1
387,.7317,1,1,2,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,2,3,2,2,1,2,1,1,2,1,1,69,4,1,1,19,1,22,1
388,.8889,1,2,5,0,0,0,1,0,0,3,1,1,1,1,1,0,0,0,5,3,2,2,1,2,1,1,2,1,1,60,4,2,1,16,1,93,5
389,.961,1,1,6,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,6,1,3,1,5,2,6,1,2,1,2,44,4,1,1,8,1,93,1
390,.9917,1,1,6,0,1,0,0,0,0,5,3,1,1,1,0,0,0,0,6,3,3,3,5,2,6,1,1,1,2,20,4,1,1,16,1,93,1
391,1.8084,1,1,2,0,0,0,1,0,0,5,2,1,0,0,1,0,0,0,2,3,2,2,2,2,1,1,2,2,2,68,3,3,2,10,0,93,1
392,.7249,1,1,6,0,0,0,1,0,0,5,3,0,0,1,0,0,0,0,2,1,2,3,5,3,6,1,3,2,2,71,2,1,2,19,1,93,5
393,1.4098,1,1,6,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,2,3,1,3,2,2,6,2,3,2,2,80,2,2,1,8,1,72,5
394,.9856,1,1,2,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,2,1,2,2,1,2,1,2,1,1,1,35,3,1,1,12,1,58,1
395,.9019,1,1,6,0,0,0,1,0,0,5,2,0,0,0,0,0,1,0,2,3,3,2,5,2,6,1,3,1,1,65,4,3,2,13,1,93,1
396,.6045,1,2,6,0,0,0,1,0,0,5,3,0,1,1,1,0,0,0,2,3,3,2,5,2,6,1,3,2,1,68,4,1,1,7,1,74,5
397,.3242,1,1,5,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,6,2,1,2,2,2,4,1,2,1,2,71,3,5,1,11,1,91,5
399,1.0627,1,1,6,0,0,0,0,1,0,5,3,0,1,0,0,0,0,0,6,2,3,3,2,2,6,1,3,1,1,65,2,4,2,14,1,59,6
